# {"t_start": 1672454481.0872173, "env_id": "PctContinuous-v0"} 
r,l,t
4.881317,20,1239.540062
6.682472,27,1241.626161
6.273133,22,1243.263855
5.600204,23,1245.067699
6.615996,25,1246.979195
6.15829,27,1249.055112
7.068482,28,1251.1854
5.60703,23,1252.955094
6.891682,24,1254.780656
5.454673,26,1256.781878
5.905155,18,1258.138111
6.936452,30,1260.42771
5.976418,26,1262.375465
6.326971,35,1265.088351
6.008358,30,1267.361567
6.221877,21,1269.006732
5.698797,24,1270.829014
5.563754,16,1272.070053
6.463193,26,1274.029643
6.372815,19,1275.468305
6.011781,24,1277.314424
6.105156,22,1278.982204
5.402544,27,1281.072212
6.655241,29,1283.272627
6.6558,25,1285.143211
5.325349,18,1286.50354
7.449607,27,1288.573909
4.512265,18,1289.905089
6.299802,21,1291.523717
6.398989,29,1293.721231
5.666208,18,1295.117322
6.489624,21,1296.716208
7.746721,32,1299.17865
2.226002,7,1299.731091
7.108704,28,1301.868431
6.01075,28,1304.066371
5.85022,20,1305.582505
5.771126,25,1307.518345
7.117524,28,1309.678571
5.81639,20,1311.25347
6.025891,22,1312.911649
6.375807,25,1314.83762
4.806347,18,1316.214698
6.287846,23,1317.995315
5.828427,30,1320.236095
5.866945,26,1322.208569
6.736574,22,1323.882661
6.539097,28,1326.036666
7.096647,27,1328.070462
6.406945,27,1330.130922
6.444839,30,1332.436638
5.721991,25,1334.387131
6.8379,26,1336.351287
6.635126,30,1338.695726
5.903673,20,1340.171864
6.641998,26,1342.190105
6.030581,20,1343.691118
6.842599,27,1345.7779
5.792137,22,1347.426225
7.643784,29,1349.706681
6.439463,25,1351.612675
6.269358,23,1353.383385
4.594525,20,1354.877551
6.44382,25,1356.804573
5.52731,24,1358.584788
5.31566,22,1360.29307
4.93059,19,1361.743113
6.294025,24,1363.575118
4.582706,20,1365.106547
6.239045,20,1366.602081
6.099051,25,1368.547179
6.065999,23,1370.286407
6.707015,29,1372.533423
6.062606,19,1374.002217
6.041635,20,1375.556149
5.063179,24,1377.395905
6.208105,33,1379.900047
7.093464,24,1381.737244
6.00845,27,1383.820294
4.502296,15,1384.966572
5.94884,23,1386.750757
7.23082,23,1388.47709
5.303279,20,1389.947773
6.595103,23,1391.694165
6.575587,29,1393.882738
5.801115,24,1395.72205
6.219005,26,1397.686355
5.771898,20,1399.263496
6.710703,28,1401.424713
4.537344,16,1402.65395
6.087882,27,1404.686413
6.973078,27,1406.80602
7.096726,22,1408.462155
6.607224,24,1410.333926
5.69991,20,1411.850957
5.739544,23,1413.656889
5.718871,22,1415.309721
6.424978,26,1417.368975
6.38696,27,1419.41527
6.852436,26,1421.440882
6.514267,29,1423.598759
5.38259,21,1425.273404
5.994444,25,1427.158
5.114444,17,1428.426162
6.297904,28,1430.592397
5.970124,19,1431.993755
6.045867,26,1434.067205
6.627919,31,1436.425313
6.667983,32,1438.840576
6.053187,18,1440.263961
6.247804,20,1441.768032
7.047416,29,1444.027494
6.624195,28,1446.158779
6.599136,29,1448.423075
6.840787,30,1450.658022
6.30465,24,1452.534351
5.449788,24,1454.401658
4.616012,21,1456.034752
5.856187,26,1457.964256
6.886028,28,1460.150492
6.828082,31,1462.532053
5.83924,23,1464.327492
5.764402,23,1466.0636
6.489474,28,1468.25805
6.103619,29,1470.435727
6.464122,25,1472.363795
5.104023,25,1474.253289
6.285715,23,1476.021233
4.768825,23,1477.781237
5.648602,27,1479.916046
7.047227,24,1481.736192
5.396937,25,1483.671709
7.173681,33,1486.147164
6.491751,22,1487.86823
6.413615,29,1490.140901
6.020339,25,1492.020193
5.665981,22,1493.679112
6.501083,23,1495.466043
6.851348,21,1497.065011
7.136879,29,1499.329814
6.405281,31,1501.760432
6.513397,21,1503.330802
6.224411,22,1505.004003
6.538363,24,1506.884138
5.739311,22,1508.564769
6.300636,25,1510.484839
5.879801,30,1512.757124
5.249269,23,1514.561482
6.847978,27,1516.631139
5.428686,17,1517.944055
6.16285,27,1520.010622
5.982869,22,1521.780915
7.030708,32,1524.187974
5.163703,23,1525.989451
6.416807,28,1528.067935
6.747153,29,1530.307557
4.807111,22,1531.987676
5.72131,18,1533.375644
6.401746,14,1534.45328
5.26525,21,1536.085197
6.73496,34,1538.681359
6.617398,33,1541.232717
7.542209,28,1543.313971
6.257629,23,1545.135891
3.80623,13,1546.133237
6.423572,24,1548.010179
6.036023,26,1549.962778
6.435105,23,1551.759218
6.591746,26,1553.741849
7.124465,32,1556.279249
6.974864,22,1557.902654
6.235295,24,1559.756497
6.011592,26,1561.729224
4.385866,19,1563.241346
6.887873,27,1565.27388
6.162808,25,1567.200612
6.403585,32,1569.640504
5.79278,23,1571.446568
6.039811,26,1573.404682
7.060959,25,1575.362594
5.557841,18,1576.734811
6.312815,26,1578.746919
7.24369,23,1580.495987
3.186901,16,1581.684186
6.46338,24,1583.521231
6.812743,24,1585.34027
6.691062,28,1587.461325
7.141674,25,1589.348072
5.917507,25,1591.29418
7.213687,29,1593.539949
5.860331,26,1595.540267
6.995152,26,1597.520869
7.257342,26,1599.537194
6.368833,29,1601.75206
6.085739,26,1603.700808
7.327152,32,1606.152634
6.028678,31,1608.478097
7.543053,32,1610.970966
7.623897,30,1613.30055
5.085703,21,1614.87389
6.790215,29,1617.115581
6.971458,26,1619.055006
6.159234,23,1620.840988
5.731141,22,1622.529064
6.021442,21,1624.118373
4.302269,17,1625.41552
6.035666,26,1627.433503
5.846834,29,1629.661012
6.515466,24,1631.453448
5.131217,18,1632.862999
6.660277,31,1635.14245
6.86789,30,1637.453859
5.00253,24,1639.319161
6.474804,28,1641.476699
6.124139,24,1643.335553
6.093025,24,1645.215894
5.98221,24,1647.022685
5.64356,25,1648.962082
6.249854,26,1650.907718
6.225534,28,1653.059459
6.41142,30,1655.379577
6.384418,26,1657.343329
6.193296,26,1659.336966
6.573869,26,1661.272372
5.032654,23,1663.085191
5.086448,25,1664.983689
6.517247,28,1667.15731
5.661439,26,1669.16494
6.259288,23,1670.958336
6.39247,25,1672.895785
5.607653,24,1674.775474
3.925646,18,1676.138519
5.795263,22,1677.785108
6.561987,31,1680.168136
4.854321,20,1681.712462
6.705938,25,1683.647997
5.919618,29,1685.931243
7.161209,27,1687.961414
6.896757,29,1690.216394
6.936431,25,1692.068263
6.029262,29,1694.325955
6.315901,18,1695.688807
7.122825,29,1697.914992
6.357863,26,1699.912696
5.606955,20,1701.492157
7.164787,31,1703.828789
6.638398,26,1705.851397
6.664838,29,1708.053868
5.211247,23,1709.816496
5.295854,26,1711.813317
5.490883,22,1713.525159
5.507148,21,1715.157499
2.963693,12,1716.076897
7.050109,25,1717.983036
6.800579,20,1719.490545
3.889563,16,1720.768338
4.890976,21,1722.363219
6.309808,27,1724.417394
7.418536,25,1726.339394
6.384737,25,1728.245861
6.699818,26,1730.269376
6.811831,32,1732.713883
5.858879,19,1734.13518
6.878379,29,1736.395673
6.191651,21,1737.992141
5.320594,19,1739.462341
6.959802,30,1741.7173
5.753033,20,1743.272103
6.839626,24,1745.053628
6.831726,26,1747.07983
5.120646,16,1748.302213
6.540785,24,1750.102968
6.202378,18,1751.492089
5.268088,30,1753.804505
4.756655,17,1755.138126
6.12641,29,1757.324935
5.493961,26,1759.344272
6.104217,30,1761.598766
5.992723,24,1763.41865
6.512399,24,1765.223993
5.640407,21,1766.855
6.153694,29,1769.052509
6.151744,29,1771.33315
5.756347,22,1772.991033
6.377555,22,1774.73446
6.394072,24,1776.612613
6.500514,26,1778.622821
6.633226,28,1780.728369
6.493388,26,1782.80602
5.68676,23,1784.537143
6.244543,22,1786.248987
6.813102,25,1788.106642
5.89429,26,1790.111278
6.168758,24,1791.924764
6.216766,22,1793.621239
6.376711,27,1795.669843
5.378106,21,1797.3075
6.139468,23,1799.01236
6.133662,20,1800.524468
5.717674,25,1802.439598
5.859709,26,1804.389704
6.040073,26,1806.427441
7.192026,29,1808.675433
6.456818,24,1810.482778
5.891046,23,1812.2576
6.894706,31,1814.594109
6.686678,30,1816.930555
6.610756,21,1818.51496
6.826471,30,1820.821195
5.923276,22,1822.493797
6.773902,31,1824.866007
5.980593,21,1826.461806
5.865079,28,1828.619115
6.014542,27,1830.682968
5.189707,18,1832.090199
6.373905,27,1834.103278
5.392486,19,1835.598775
6.508838,19,1837.067281
6.523254,31,1839.438835
6.395339,24,1841.292974
5.23567,23,1843.065356
6.203213,20,1844.589339
5.748544,25,1846.511764
5.775377,25,1848.465421
5.783414,23,1850.206895
5.952634,15,1851.40099
6.505301,24,1853.217278
6.892751,28,1855.397932
6.594903,24,1857.188326
5.553975,25,1859.070624
6.548549,23,1860.81999
6.67857,24,1862.706001
6.147219,25,1864.572032
5.958329,23,1866.375244
6.719323,28,1868.504463
7.043583,28,1870.711934
6.20298,26,1872.633981
7.037377,23,1874.436817
4.417874,16,1875.630274
6.379496,22,1877.304312
6.430224,25,1879.165557
6.970298,31,1881.511358
6.888611,28,1883.618025
7.390289,26,1885.651324
5.441987,19,1887.071234
6.896425,31,1889.490124
6.702439,21,1891.070594
6.782272,18,1892.378554
6.137061,31,1894.808682
7.211783,24,1896.647934
5.932454,26,1898.606242
6.626969,31,1901.019794
6.56207,27,1903.09255
5.29207,19,1904.574961
6.789935,21,1906.161199
4.407743,21,1907.733655
5.708309,18,1909.14209
5.23724,19,1910.596086
6.455881,31,1912.976965
6.283259,29,1915.185195
5.156391,15,1916.376574
6.016461,21,1917.971112
5.235483,21,1919.624355
6.07365,32,1922.029389
6.638761,25,1923.981088
3.987618,22,1925.653331
5.831397,25,1927.604303
6.274582,27,1929.612859
5.833291,21,1931.285094
4.655573,21,1932.846512
6.033634,26,1934.831626
6.21252,19,1936.291334
5.743171,21,1937.879334
6.279789,23,1939.673316
5.85197,24,1941.448449
5.642935,19,1942.930191
6.215817,21,1944.505546
6.955973,27,1946.608558
6.339739,27,1948.611575
4.560239,19,1950.114235
